Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Country,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Sparkcognition,http://www.sparkcognition.com/,"SparkCognition builds artificial intelligence solutions for applications in energy, oil and gas, manufacturing, finance, aerospace, defense, and security. SparkCognition's products include the Darwin for automated model building, DeepArmor for AI-built cybersecurity, SparkPredict, an analytics solution, and DeepLNP, a natural language processing solution.",Series C,"167,880,000",Optimisation,Existing,2013,USA,Mining,TRUE,,,,
Solid State AI,https://www.solidstate.ai/,"Advanced machine learning for advanced manufacturing. Solid State AI is building a SaaS platform that enables process and equipment engineers in complex manufacturing industries to increase manufacturing yields, optimize process parameters, and reduce equipment maintenance costs and downtime. ",Undisclosed,Undisclosed,Optimisation,Emerging,2017,Canada,Both,TRUE,,,,
QiO Technologies,https://qio.io/,"QiO Technologies is an advanced analytics and artificial intelligence software company that enables global industrials and manufacturers to substantially increase operational efficiency and productivity, improve safety, and enable new, high-margin revenue streams. QiO have developed a platform and a suite of AI-infused applications that let industrial engineers and operations professionals simulate, predict, collaborate on and optimise production and business processes to achieve measurably better outcomes.",Seed,"13,150,000",Optimisation,Emerging,2015,United Kingdom,Both,TRUE,,,,
Petra Data Science,https://www.petradatascience.com/,"Increase mine productivity, yield and energy efficiency with 'MAXTATM digital twin' value chain optimisation. Digital twin prediction, simulation and optimisation shows you how to reproduce your ‘best performance’ 24 hours a day, seven days a week. ",Undisclosed,Undisclosed,Optimisation,Existing,2015,Australia,Mining,TRUE,,,,
Swim,https://www.swim.ai/,"Swim provides edge-based software that executes real-time analytics and machine learning for enterprises, equipment manufacturers, smart-cities, and IOT/IIOT businesses. Its software locally processes and analyzes massive volumes of streaming data from devices/sensors/equipment where it is created, reducing network volumes, and generating real-time machine-learning business insights.",Series B,"10,000,000",Optimisation,Existing,2015,USA,Both,TRUE,,,,
Maestro Digital Mine,https://www.maestrodigitalmine.com/,Maestro Digital Mine serves the underground mine ventillation and automation sector with automated mine ventilation systems and advanced instrumentation for measurement and control. ,,,Optimisation,,,Canada,Mining,FALSE,,,,
Clickmox,https://www.clickmox.com/,"Clickmox Solutions is based out of Sudbury, Ontario, Canada. We provide consultancy, product development and service to the mining and industrial sectors, in the areas of 3D LiDAR scanning, robotics, geotechnical monitoring, point cloud data processing, convergence monitoring and simulations.​
",,,Optimisation,,,Canada,Mining,FALSE,,,,
Aposys Technologies,https://www.aposystech.com/,"Creator of advanced laser alignment equipment, products, and solutions to address the critical needs of safety, accuracy, and time and cost-saving in current industrial manual processes in key sectors including mining, construction, energy and advanced manufacturing.",Unfunded,n/a,Optimisation,Emerging,2015,Canada,Both,TRUE,,,,
Connected mine solution,https://www.australianmining.com.au/news/metso-rockwell-automation-develop-connected-mine/,"Metso has collaborated with Rockwell Automation to launch an expanded Metso Metrics that maximises the performance of comminution circuits. Metso Metrics capabilities are hinged upon predictive maintenance, condition monitoring and analytics, which give users improved visibility and new insights into their equipment and processes.",Unfunded,n/a,Optimisation,Existing,2018,Australia,Mining,TRUE,Metso/Ouotec,Activity,,2018
Vayeron,https://vayeron.com.au/,"Vayeron is an OEM technology company based in Sydney, Australia. The company focuses on providing intelligent solutions to industrial productivity challenges, particularly in the mining sector.

Vayeron is a pioneer in the field of applying innovative ‘Industrial Internet of Things (IIoT)’ technology for vibration analysis and condition monitoring of bearings and shafts.",Seed,"600,000",Optimisation,Emerging,2014,Australia,Mining,TRUE,,,,
Neuron Soundware,https://www.neuronsw.com/,"Neuron Soundware provides software solutions for audio analysis, voice diagnostics, and sound manipulation. The company is using deep learning technology to create audio analytics software. This software can be helpful in diagnosing technical problems in heavy machinery and sensitive hardware. Allows for a broad range of use-cases, bringing value not only to maintenance but also to quality control and other use-cases. Strengths: complete HW+SW system, edge computing (i.e. full offline functionality). Pilots/POCs with Airbus, Siemens, Volkswagen, BMW, innogy (and many more) Running service with MVV Energie, SKODA AUTO, Volkswagen (and more).",Seed,"300,000",Optimisation,Distant,2016,Slovakia,Both,TRUE,,,,
Uptake,https://www.uptake.com/,"Uptake is a predictive analytics platform that leverages IoT data. The platform gathers data from machines. Data from sensored equipment, operations, and external sources are collated, normalized and stored in the polygot data store. The model uses proprietary rules engine and machine learning technology to enable real-time recommendations. The companies tools and services are built to work across industries. The company's broad range of solutions include condition based monitoring: The solutions helps track real-time measurements from multiple assets across an industrial ecosystem. Data is analyzed to make decisions around asset maintenance. The solution includes a visualization platform as well. The companies solutions also cover areas such as fuel and energy efficiency improvement, supply chain optimization, performance optimization, and planning & forecasting

ASSET IO
Machines don’t have to break.
Make sure your assets are always ready to deliver. Know everything about them 24/7 and increase their availability and reliability. Perform predictive maintenance, cost-optimize your strategies, increase asset uptime and consistently hit peak performance.",Series D,"282,000,000",Asset Health,Existing,2014,USA,Both,TRUE,,,,
Movus,https://www.movus.com.au/,"Movus calls itself the fitbit of industrial machines. Their continuous condition monitoring solution “Fitmachine” helps minimise unplanned downtime and reduce maintenance costs. Their sensor monitors vibration, temperature and noise, is installed with a magnet, and sends data wirelessly, which is then processed using machine learning and visualized in the Movus dashboard. ",Series A,"4,800,000",Asset Health,Emerging,2014,Australia,Both,TRUE,,,,
Konux,https://www.konux.com/,"KONUX integrates smart sensor systems and artificial intelligence to maximize asset performance. KONUX offers an industrial IoT solution combining smart sensors, data fusion and AI-based analytics to increase asset availability and optimize maintenance planning.",Series B,"51,600,000",Asset Health,Existing,2014,Germany,Both,TRUE,,,,
Rithmik Solutions,http://rithmik.com/,"Mines want to prevent equipment failures and unplanned downtime. Artificial intelligence and machine learning can help, but most predictive maintenance solutions don’t have enough site-specific context or the flexibility and resilience mines need. Rithmik Asset Health Analyzer (AHA) is different. It’s an AI-powered analytics engine with a suite of algorithms tailored for mines.",Seed,"$1,000,000",Asset Health,Emerging,2015,United Kingdom,Mining,TRUE,,,,
